country,total_population
China,20777005682
France,1037247067
Myanmar,748407165
South Africa,726756576
Tanzania,604403737
Italy,1023858872
South Korea,762570049
Kenya,552811341
United Kingdom,1081205197
Egypt,1175982987
Germany,1435707110
Vietnam,1270852822
DR Congo,884786737
Thailand,988882181
Holy See,13432
Iran,1027791266
Turkey,1055440775
Tokelau,25377
Niue,47623
Saint Pierre & Miquelon,99652
Saint Helena,100776
Montserrat,143469
Falkland Islands,42672
Wallis & Futuna,197213
Saint Barthelemy,104142
Nauru,147200
Cook Islands,310470
Tuvalu,148412
Anguilla,175484
Caribbean Netherlands,274042
British Virgin Islands,326447
Gibraltar,514513
San Marino,436203
Palau,257694
Liechtenstein,500260
Saint Martin,387549
Turks and Caicos,342253
Monaco,523230
Sint Maarten,424730
Faeroe Islands,749818
Saint Kitts & Nevis,805544
American Samoa,745049
Greenland,857763
Northern Mariana Islands,644473
Marshall Islands,711261
Bermuda,997314
Cayman Islands,602489
Dominica,1181306
Andorra,910362
Isle of Man,1197035
Antigua and Barbuda,1364539
Seychelles,1363727
U.S. Virgin Islands,1630584
Tonga,1661987
St. Vincent & Grenadines,1832131
Grenada,1818678
Kiribati,1474041
Curaçao,2645179
Aruba,1466667
Guam,2342287
Channel Islands,2601260
Saint Lucia,2597547
Samoa,2987911
Sao Tome & Principe,2532403
Mayotte,2576254
French Polynesia,3657996
Barbados,4762491
Vanuatu,3303570
New Caledonia,3515232
Iceland,4850130
Martinique,6320350
Bahamas,4958179
French Guiana,2885768
Belize,4366819
Brunei ,5158594
Malta,6849603
Guadeloupe,6564803
Maldives,5328260
Cabo Verde,7114961
Suriname,8106205
Western Sahara,5659587
Luxembourg,8150224
Montenegro,10589040
Macao,7506977
Bhutan,9681514
Comoros,9395339
Réunion,11951847
Solomon Islands,7161398
Guyana,13116865
Fiji,12921609
Djibouti,10706112
Eswatini,14869017
Cyprus,16147938
Mauritius,19118486
Timor-Leste,15984749
Estonia,24456989
Trinidad and Tobago,21394119
Equatorial Guinea,12862342
Bahrain,14800082
Latvia,39920091
Guinea-Bissau,22210786
Slovenia,34417238
North Macedonia,34540260
Gabon,23124341
Botswana,26443180
Gambia,23729550
Namibia,29411690
Lesotho,29810717
Lithuania,56036015
Puerto Rico,55342246
Albania,48032715
Qatar,21768784
Jamaica,44049180
Armenia,50805372
Mongolia,40255876
Bosnia and Herzegovina,65602588
Uruguay,56164839
Eritrea,42990245
Georgia,79003987
Moldova,70110737
Croatia,78333907
Kuwait,41265056
Panama,50955121
Mauritania,47940296
New Zealand,67213287
Central African Republic,59016917
Ireland,69751966
Liberia,53028831
Costa Rica,62430423
State of Palestine,53404701
Oman,46091936
Norway,81377642
Slovakia,91355468
Congo,56959390
Finland,91285589
Denmark,95154578
Singapore,68595957
Turkmenistan,72761169
El Salvador,93208728
Kyrgyzstan,82333170
Nicaragua,81268135
Lebanon,75976462
Libya,82857124
Bulgaria,141554787
Paraguay,85736286
Laos,87556456
Hong Kong,103394693
Sierra Leone,90666588
Togo,87002873
Switzerland,128149465
Israel,99518692
Serbia,157352706
Papua New Guinea,101005768
Austria,145253573
Belarus,167788168
Tajikistan,106672810
Hungary,181486284
United Arab Emirates,81409111
Honduras,110051597
Sweden,159744455
Azerbaijan,135541261
Portugal,176886045
Jordan,97036206
Greece,179440637
Czech Republic (Czechia),185039454
Dominican Republic,137488812
South Sudan,125299659
Cuba,182841681
Haiti,142087715
Belgium,187321661
Bolivia,142091683
Tunisia,153908208
Burundi,124434674
Benin,124504833
Rwanda,140959282
Guinea,144234271
Zimbabwe,183858218
Somalia,163566692
Chad,161306069
Cambodia,202289498
Senegal,174608109
Netherlands,271396654
Syria,234324538
Ecuador,208657064
Guatemala,201829656
Zambia,186888278
Kazakhstan,275188881
Chile,256186646
Malawi,199758189
Romania,371343188
Mali,212871097
Burkina Faso,217313541
Sri Lanka,308392720
Taiwan,353427199
Niger,224148960
Australia,332198757
North Korea,367546545
Côte d'Ivoire,270318277
Cameroon,276718658
Madagascar,284275323
Venezuela,377469884
Nepal,372697333
Yemen,302782961
Ghana,337037431
Mozambique,330161456
Malaysia,380599553
Angola,314510304
Peru,416966803
Uzbekistan,401979622
Saudi Arabia,355376187
Morocco,471528282
Canada,522719640
Poland,646835133
Afghanistan,402759276
Iraq,418411780
Ukraine,834662785
Sudan,462047074
Algeria,511596070
Argentina,618254899
Uganda,441097958
Spain,728694841
Colombia,643468592
Philippines,1283342754
Ethiopia,1186140408
Japan,2137235350
Mexico,1616365139
Russia,2505341279
Bangladesh,2045829154
Nigeria,2196456991
Brazil,2795585343
Pakistan,2405746942
Indonesia,3477591243
United States,4815853197
India,17369235027
